lat,lon,temp,precip,grass,forest,barren,water,class
36.35,99.70000000000023,1.64078950881958,364.6368713378906,1,0,0,0,4
36.35,99.85000000000024,1.64078950881958,364.6368713378906,1,0,0,0,4
36.35,100.00000000000024,2.653947353363037,382.6368408203125,1,0,0,0,4
36.35,100.15000000000025,2.653947353363037,382.6368408203125,1,0,0,0,4
36.35,100.30000000000025,2.653947353363037,382.6368408203125,1,0,0,0,4
36.35,100.45000000000026,2.653947353363037,382.6368408203125,1,0,0,0,4
36.35,100.60000000000026,2.7223682403564453,408.87896728515625,1,0,0,0,4
36.35,100.75000000000027,2.7223682403564453,408.87896728515625,1,0,0,0,4
36.35,100.90000000000028,2.7223682403564453,408.87896728515625,1,0,0,0,4
36.35,101.05000000000028,1.5048246383666992,465.6263427734375,1,0,0,0,4
36.35,101.20000000000029,1.5048246383666992,465.6263427734375,1,0,0,0,4
36.35,101.35000000000029,1.5048246383666992,465.6263427734375,1,0,0,0,4
36.35,101.5000000000003,3.6627197265625,451.3947448730469,1,0,0,0,4
36.35,101.6500000000003,3.6627197265625,451.3947448730469,1,0,0,0,4
36.35,101.80000000000031,3.6627197265625,451.3947448730469,1,0,0,0,4
36.35,101.95000000000032,3.6627197265625,451.3947448730469,1,0,0,0,4
36.35,102.10000000000032,3.5885965824127197,468.00006103515625,1,0,0,0,4
36.35,102.25000000000033,3.5885965824127197,468.00006103515625,1,0,0,0,4
36.35,102.40000000000033,3.5885965824127197,468.00006103515625,1,0,0,0,4
36.35,102.55000000000034,5.9478068351745605,424.368408203125,1,0,0,0,4
36.35,102.70000000000034,5.9478068351745605,424.368408203125,1,0,0,0,4
36.35,102.85000000000035,5.9478068351745605,424.368408203125,1,0,0,0,4
36.35,103.00000000000036,7.792983055114746,386.06842041015625,1,0,0,0,4
36.35,103.15000000000036,7.792983055114746,386.06842041015625,1,0,0,0,4
36.35,103.30000000000037,7.792983055114746,386.06842041015625,1,0,0,0,4
36.35,103.45000000000037,7.792983055114746,386.06842041015625,1,0,0,0,4
36.5,93.7,4.028947353363037,40.3684196472168,0,0,1,0,7
36.5,93.85000000000001,4.028947353363037,40.3684196472168,0,0,1,0,7
36.5,94.00000000000001,5.1798248291015625,36.978946685791016,0,0,1,0,7
36.5,94.15000000000002,5.1798248291015625,36.978946685791016,0,0,1,0,7
36.5,94.30000000000003,5.1798248291015625,36.978946685791016,0,0,1,0,7
